fecha,Edad,Valor,id_depa_sede,id_depa_procedencia,id_municipio_sede,id_municipio_procedencia,id_sede,id_tipo_delito,id_atencion,id_grupo_etnico,id_orientacion_sexual,id_atencion_vcm
2022-08-03,41,1,20,1,9,1,7,1,1,13,5,232
2022-08-03,36,1,20,20,9,9,7,3,1,13,5,233
2022-08-03,25,1,20,1,9,108,7,3,1,1,3,234
2022-08-03,39,1,1,1,1,1,2,4,1,1,3,235
2022-08-03,45,1,3,9,1601,1107,1,1,1,13,5,236
2022-08-02,46,1,1,20,1,9,2,1,1,1,3,237
2022-08-04,29,1,1,20,1,,2,1,1,1,3,238
2022-08-03,51,1,3,1,1601,1,1,1,1,13,3,239
2022-08-03,51,1,3,1,1601,1,1,1,1,13,3,240
2022-08-03,51,1,3,1,1601,1,1,1,1,13,3,241
2022-08-04,43,1,4,21,22,1014,6,3,1,13,5,242
2022-08-08,34,1,3,12,1601,1502,1,1,1,1,3,243
2022-08-08,30,1,20,20,9,914,7,1,1,1,3,244
2022-08-08,23,1,4,20,22,914,6,3,1,1,3,245
2022-08-08,66,1,3,1,1601,1,1,1,1,10,3,246
2022-08-08,23,1,4,24,22,2106,6,3,1,13,5,247
2022-08-08,38,1,20,24,9,2106,7,1,1,1,3,248
2022-08-08,49,1,1,17,1,609,2,2,1,1,3,249
2022-08-08,61,1,20,4,9,2216,7,3,1,1,3,250
2022-08-08,57,1,1,20,1,920,2,1,1,13,5,251
2022-07-12,48,1,8,1,5,,5,1,1,13,3,252
2022-08-09,30,1,1,1,1,1,2,1,1,14,3,253
2022-08-09,36,1,1,1,1,113,2,3,1,13,5,254
2022-08-08,56,1,1,24,1,2106,2,1,1,14,3,255
2022-08-09,42,1,1,17,1,614,2,4,1,1,3,256
2022-08-09,27,1,3,20,1601,9,1,1,1,13,5,257
2022-08-09,27,1,1,4,1,22,2,1,1,14,3,258
2022-08-09,27,1,1,22,1,1904,2,1,1,1,3,259
2022-08-09,22,1,4,16,22,1320,6,3,1,13,5,260
2022-08-09,24,1,1,1,1,1,2,3,1,1,3,261
2022-08-09,23,1,4,20,22,911,6,3,1,13,5,262
2022-08-10,42,1,4,1,22,114,6,4,1,1,3,263
2021-10-25,37,1,1,1,1,1,2,1,1,1,3,264
2022-08-10,36,1,3,22,1601,1907,1,1,1,13,5,265
2022-08-10,34,1,1,3,1,1601,2,1,1,13,5,266
2022-08-10,38,1,1,1,1,106,2,1,1,1,3,267
2022-08-10,27,1,3,20,1601,,1,1,1,9,3,268
2022-08-10,28,1,3,20,1601,9,1,1,1,10,3,269
2021-12-01,56,1,1,20,1,913,2,1,1,1,3,270
2022-08-10,56,1,20,20,9,920,7,1,1,8,3,271
2022-08-10,26,1,3,3,1601,1601,1,1,1,1,3,272
2022-08-10,28,1,20,1,9,104,7,1,1,1,3,273
2022-08-10,39,1,20,20,9,913,7,1,1,1,3,274
2022-08-09,30,1,4,1,22,1,6,4,1,13,3,275
2022-08-10,23,1,1,20,1,910,2,1,1,1,3,276
2022-08-10,41,1,20,3,9,1610,7,3,1,1,3,277
2022-08-11,21,1,20,1,9,1,7,1,1,1,3,278
2022-08-11,62,1,1,1,1,1,2,3,1,1,3,279
2022-08-11,56,1,1,12,1,1507,2,4,1,1,3,280
2022-08-11,36,1,20,1,9,103,7,3,1,1,3,281
2022-08-11,46,1,1,17,1,611,2,1,1,13,3,282
2022-08-11,52,1,1,20,1,914,2,1,1,13,5,283
2022-08-11,39,1,1,15,1,,2,1,1,13,5,284
2022-08-12,55,1,4,1,22,110,6,3,1,13,5,285
2021-02-11,70,1,1,1,1,1,2,4,1,1,3,286
2022-08-12,34,1,1,1,1,108,2,1,1,13,3,287
2021-12-20,29,1,1,20,1,,2,1,1,1,3,288
2021-12-20,29,1,1,20,1,,2,1,1,1,3,289
2022-08-12,49,1,1,3,1,1601,2,1,1,1,3,290
2021-02-24,35,1,1,20,1,914,2,1,1,1,3,291
2022-08-12,35,1,20,20,9,9,7,3,1,2,3,292
2022-08-12,40,1,3,22,1601,1904,1,1,1,13,3,293
2022-08-12,23,1,1,7,1,1218,2,1,1,1,3,294
2022-08-12,34,1,20,3,9,1607,7,1,1,6,3,295
2020-12-11,50,1,1,8,1,5,2,1,1,1,3,296
2022-08-14,25,1,20,1,9,1,7,3,1,6,3,297
2022-08-15,33,1,8,4,5,22,5,1,1,1,3,298
2022-06-30,22,1,8,1,5,1,5,3,1,1,3,299
2021-07-16,27,1,20,1,9,1,7,4,1,6,3,300
2020-10-21,50,1,1,1,1,1,2,1,1,1,3,301
2022-08-16,34,1,1,1,1,1,2,1,1,13,5,302
